renglon,descripcion,unidad,cantidad,precio_unitario,total,origen
1,BOBINA CABLE UTP CAT 6 (300 M),Pieza,1,82.68,82.68,Presupuesto_1_ARENAZA.pdf:2:1
2,Switch Escritorio Gigabit De 10 Puertos Con Poe De,Pieza,1,157.99,157.99,Presupuesto_1_ARENAZA.pdf:2:2
3,Tubo Corrugado Flexible 1 Pulgada,Metros,90,99.75,299.25,Presupuesto_1_ARENAZA.pdf:2:3
4,Conectores Rj45 Cat6 Utp Bolsa (100 unidades),Pieza,1,5.00,5.00,Presupuesto_1_ARENAZA.pdf:2:4
5,Bosla Tirrap (100 unidades),Pieza,5,2.00,10.00,Presupuesto_1_ARENAZA.pdf:2:5
6,Organizador De Cables Individuales 20cm 100 Und,Pieza,5,18.00,90.00,Presupuesto_1_ARENAZA.pdf:2:6
7,Bobina Cable Utp Cat6 305 m Int,Pieza,1,211.21,211.21,Presupuesto_1_ARENAZA.pdf:2:7
8,Teipe Eléctrico Negro Cobra,Pieza,1,9.99,9.99,Presupuesto_1_ARENAZA.pdf:2:8
9,Teipe Aislante Para Cableado Eléctrico,Pieza,1,10.00,10.00,Presupuesto_1_ARENAZA.pdf:2:9
10,Toma Doble Con Tierra 270 20a Con Placa Blanca,Pieza,5,5.05,25.25,Presupuesto_1_ARENAZA.pdf:2:10
11,Anillo E.m.t. 2,Pieza,2,3.96,7.92,Presupuesto_1_ARENAZA.pdf:2:11
12,Guaya Guia Pasa Cable De Acero,Pieza,1,90.00,90.00,Presupuesto_1_ARENAZA.pdf:2:12
13,Cajetin Plástico 4x2 Pvc Con Grapa Metálica.,Pieza,5,2.00,10.00,Presupuesto_1_ARENAZA.pdf:2:13
14,Micelaneos,,,,100.00,Presupuesto_1_ARENAZA.pdf:2:14
